ALL;Allemand;
ANG;Anglais;
ESP;Espagnol;
INF;Informatique;
MATHS;Mathematiques;
PCT;Phys-Chimie-Techno;
SVT;SVT;
HIST;Histoire;
GEO;Geographie;
EPS;EPS;
CATECHESE;CATECHESE;
ECM;EDUCATION à la CITOYENNETE;
EDUCART;EDUCATION ARTISTIQUE;
ET;ETUDE DE TEXTE;
EXE;EXPRESSION ECRITE;
EXO;EXPRESSION ORALE;
ORT;ORTHOGRAPHE;
LANA;LANGUE NATIONALE;
CULTNA;CULTURE NATIONALE;
TM;TRAVAIL MANUEL;
LAT;LATIN;
HistoireGeo;HistoireGeo;
littetrature;littérature;
Langue Francaise;Langue Francaise;
Philo;Philosophie;
legislation;legislation;
DessinMode;Dessin de Mode;
OT;OT;
EOE;EOE;
Technologie;Technologie;
GSO;GSO;
Automatisme;Automatisme;
AnaFab;AnaFab;
TPFAB;TPFAB;
DessinTechn;Dessin Technique;
PATROGRAD;Patronnage gradation;
COUTURE;COUTURE;
Coupe;Coupe;
Histoire du Costume;Histoire du Costume;
Droit;Droit;
Hygene-Securite-Env;Hygiene-Securite-Env;
VieSociale;VieSociale;
Sel-PDG-Nutri;Sel-PDG-Nutrition;
EAD;EAD;
AHMV;AHMV;
TechniqueCulinaire;TechniqueCulinaire;
Metier_et_formation;Metier_et_formation;
SEL;SEL;
techno_textile;techno_textile;
CHIM;CHIMIE;
PHY;PHYSIQUES;
physique_chimie;physique_chimie;
science_physique;science_physique;
Marketing;Marketing;
NUTRIT;Nutrition;
FRCAIS;Français;
SYNT;SYNTHESE;
ANATO;ANATOMIE;
ST;Science et Technologie;
TPF;TRAVAUX P FABRICATION;
PGD;PGD;
